0.3586,0.3493,0.3393,0.3198,0.3116,0.2945,0.2797,0.2547,0.2396,0.2191,0.2048,0.1830,0.1574,0.1403,0.1156,0.1030,0.0918,0.0833,0.0823,0.0710,0.0632,0.0632,0.0603,0.0541,0.0515,0.0495,0.0459,0.0389,0.0409,0.0377,0.0355,0.0294,0.0277,0.0264,0.0248,0.0232,0.0224,0.0248,0.0198,0.0186,0.0174,0.0164,0.0160,0.0150,0.0142,0.0137,0.0126,0.0118,0.0115,0.0108,0.0101,0.0092,0.0082,0.0081,0.0075,0.0068,0.0060,0.0054,0.0051,0.0045,0.0042,0.0038,0.0036,0.0034,0.0030,0.0033,0.0029,0.0031,0.0029,0.0030,0.0031,0.0031,0.0030,0.0031,0.0038,0.0044,0.0048,0.0053,0.0058,0.0059,0.0068,0.0075,0.0082,0.0089,0.0095,0.0106,0.0113,0.0159,0.0167,0.0183
0.3953,0.3885,0.3810,0.3649,0.3576,0.3447,0.3361,0.3214,0.3107,0.3011,0.2942,0.2841,0.2682,0.2557,0.2335,0.2103,0.1873,0.1720,0.1638,0.1450,0.1275,0.1204,0.1116,0.1002,0.0951,0.0887,0.0836,0.0741,0.0765,0.0695,0.0680,0.0610,0.0579,0.0550,0.0524,0.0497,0.0473,0.0480,0.0428,0.0405,0.0379,0.0360,0.0353,0.0330,0.0321,0.0306,0.0292,0.0279,0.0271,0.0265,0.0254,0.0242,0.0230,0.0228,0.0218,0.0210,0.0205,0.0194,0.0191,0.0182,0.0178,0.0174,0.0171,0.0167,0.0161,0.0159,0.0158,0.0154,0.0154,0.0155,0.0154,0.0154,0.0150,0.0153,0.0152,0.0155,0.0155,0.0160,0.0164,0.0162,0.0169,0.0172,0.0176,0.0176,0.0189,0.0230,0.0226,0.0253,0.0263,0.0315
0.4434,0.4340,0.4302,0.4159,0.4095,0.3977,0.3855,0.3725,0.3634,0.3540,0.3483,0.3383,0.3288,0.3202,0.3032,0.2890,0.2738,0.2582,0.2454,0.2204,0.1995,0.1874,0.1715,0.1530,0.1419,0.1296,0.1183,0.1098,0.1092,0.1028,0.0981,0.0914,0.0875,0.0838,0.0813,0.0798,0.0776,0.0796,0.0755,0.0738,0.0715,0.0700,0.0705,0.0692,0.0690,0.0681,0.0674,0.0666,0.0665,0.0668,0.0651,0.0646,0.0636,0.0635,0.0628,0.0623,0.0618,0.0606,0.0595,0.0585,0.0580,0.0566,0.0562,0.0549,0.0534,0.0523,0.0512,0.0500,0.0483,0.0469,0.0453,0.0439,0.0422,0.0410,0.0394,0.0374,0.0362,0.0349,0.0336,0.0321,0.0314,0.0302,0.0295,0.0287,0.0328,0.0331,0.0335,0.0357,0.0384,0.0460
0.3132,0.3024,0.2958,0.2808,0.2726,0.2610,0.2504,0.2369,0.2284,0.2177,0.2084,0.1986,0.1894,0.1821,0.1721,0.1641,0.1566,0.1505,0.1442,0.1368,0.1295,0.1301,0.1269,0.1231,0.1200,0.1190,0.1168,0.1132,0.1130,0.1099,0.1080,0.1068,0.1025,0.0996,0.0977,0.0978,0.0939,0.0949,0.0896,0.0868,0.0845,0.0818,0.0808,0.0775,0.0762,0.0739,0.0727,0.0710,0.0694,0.0677,0.0660,0.0644,0.0632,0.0624,0.0616,0.0602,0.0596,0.0590,0.0577,0.0570,0.0562,0.0557,0.0550,0.0543,0.0530,0.0522,0.0516,0.0509,0.0496,0.0494,0.0479,0.0471,0.0462,0.0454,0.0463,0.0481,0.0527,0.0572,0.0629,0.0696,0.0761,0.0902,0.1000,0.1090,0.1299,0.1485,0.1507,0.1713,0.1950,0.2205
0.1592,0.1496,0.1423,0.1301,0.1235,0.1153,0.1096,0.1019,0.1004,0.0954,0.0928,0.0901,0.0862,0.0859,0.0879,0.0923,0.0940,0.0981,0.1068,0.1013,0.0921,0.1000,0.0957,0.0927,0.0891,0.0876,0.0815,0.0771,0.0741,0.0686,0.0674,0.0634,0.0608,0.0577,0.0574,0.0560,0.0548,0.0546,0.0528,0.0508,0.0507,0.0493,0.0486,0.0468,0.0462,0.0453,0.0445,0.0435,0.0432,0.0429,0.0414,0.0407,0.0400,0.0397,0.0389,0.0384,0.0378,0.0373,0.0362,0.0358,0.0344,0.0344,0.0334,0.0322,0.0312,0.0304,0.0296,0.0293,0.0277,0.0276,0.0264,0.0254,0.0240,0.0237,0.0228,0.0240,0.0291,0.0339,0.0390,0.0453,0.0537,0.0678,0.0766,0.0844,0.1046,0.1234,0.1260,0.1454,0.1637,0.1874
0.0761,0.0719,0.0742,0.0723,0.0751,0.0737,0.0745,0.0708,0.0691,0.0660,0.0658,0.0682,0.0614,0.0603,0.0582,0.0552,0.0499,0.0521,0.0601,0.0470,0.0464,0.0449,0.0451,0.0411,0.0396,0.0382,0.0361,0.0313,0.0328,0.0318,0.0297,0.0251,0.0213,0.0248,0.0223,0.0193,0.0187,0.0190,0.0179,0.0177,0.0172,0.0167,0.0163,0.0157,0.0154,0.0150,0.0146,0.0144,0.0140,0.0131,0.0132,0.0123,0.0121,0.0119,0.0119,0.0114,0.0113,0.0109,0.0108,0.0105,0.0102,0.0103,0.0100,0.0097,0.0095,0.0092,0.0088,0.0087,0.0083,0.0082,0.0081,0.0078,0.0075,0.0073,0.0067,0.0064,0.0062,0.0058,0.0054,0.0052,0.0047,0.0042,0.0040,0.0034,0.0031,0.0029,0.0027,0.0024,0.0062,0.0219
0.1402,0.1383,0.1366,0.1324,0.1341,0.1291,0.1288,0.1221,0.1188,0.1146,0.1133,0.1144,0.1066,0.1028,0.0976,0.0918,0.0830,0.0799,0.0778,0.0653,0.0583,0.0539,0.0497,0.0419,0.0383,0.0335,0.0313,0.0272,0.0282,0.0272,0.0255,0.0230,0.0174,0.0218,0.0173,0.0158,0.0150,0.0143,0.0132,0.0129,0.0124,0.0115,0.0112,0.0103,0.0100,0.0094,0.0086,0.0084,0.0077,0.0074,0.0070,0.0067,0.0064,0.0059,0.0058,0.0054,0.0049,0.0047,0.0044,0.0042,0.0037,0.0037,0.0034,0.0033,0.0030,0.0028,0.0026,0.0023,0.0021,0.0018,0.0016,0.0013,0.0011,0.0009,0.0007,0.0006,0.0005,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0050
0.1802,0.1735,0.1649,0.1551,0.1512,0.1410,0.1357,0.1248,0.1197,0.1132,0.1096,0.1091,0.1026,0.1003,0.0954,0.0923,0.0877,0.0877,0.0848,0.0802,0.0765,0.0746,0.0727,0.0666,0.0650,0.0607,0.0559,0.0496,0.0484,0.0456,0.0427,0.0391,0.0332,0.0355,0.0321,0.0291,0.0274,0.0260,0.0248,0.0240,0.0227,0.0212,0.0203,0.0186,0.0176,0.0166,0.0155,0.0151,0.0140,0.0133,0.0128,0.0122,0.0115,0.0107,0.0103,0.0094,0.0090,0.0079,0.0075,0.0071,0.0065,0.0064,0.0053,0.0051,0.0045,0.0043,0.0037,0.0032,0.0029,0.0024,0.0021,0.0019,0.0017,0.0016,0.0015,0.0014,0.0013,0.0011,0.0012,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0011,0.0010,0.0013,0.0013,0.0055
0.0840,0.0819,0.0820,0.0809,0.0834,0.0827,0.0840,0.0820,0.0813,0.0804,0.0821,0.0849,0.0800,0.0795,0.0772,0.0748,0.0698,0.0697,0.0673,0.0626,0.0608,0.0592,0.0590,0.0550,0.0536,0.0517,0.0493,0.0450,0.0458,0.0437,0.0423,0.0396,0.0337,0.0366,0.0355,0.0305,0.0291,0.0279,0.0266,0.0258,0.0248,0.0237,0.0233,0.0218,0.0215,0.0205,0.0198,0.0187,0.0181,0.0176,0.0173,0.0164,0.0157,0.0147,0.0142,0.0134,0.0127,0.0117,0.0109,0.0100,0.0089,0.0087,0.0078,0.0073,0.0063,0.0057,0.0050,0.0043,0.0040,0.0036,0.0033,0.0030,0.0026,0.0024,0.0022,0.0021,0.0021,0.0020,0.0021,0.0021,0.0021,0.0020,0.0021,0.0023,0.0025,0.0025,0.0032,0.0034,0.0037,0.0085
0.0934,0.0879,0.0918,0.0909,0.0935,0.0929,0.0943,0.0918,0.0917,0.0909,0.0923,0.0959,0.0932,0.0933,0.0934,0.0919,0.0886,0.0911,0.0901,0.0860,0.0834,0.0832,0.0817,0.0780,0.0769,0.0753,0.0720,0.0667,0.0667,0.0640,0.0607,0.0563,0.0505,0.0522,0.0509,0.0455,0.0436,0.0421,0.0404,0.0394,0.0379,0.0366,0.0360,0.0343,0.0338,0.0326,0.0310,0.0304,0.0295,0.0289,0.0282,0.0272,0.0261,0.0256,0.0245,0.0238,0.0233,0.0221,0.0214,0.0207,0.0200,0.0196,0.0188,0.0183,0.0174,0.0169,0.0161,0.0156,0.0148,0.0145,0.0138,0.0132,0.0127,0.0123,0.0117,0.0113,0.0111,0.0107,0.0103,0.0099,0.0098,0.0095,0.0091,0.0088,0.0091,0.0087,0.0088,0.0089,0.0086,0.0124
