0.469,0.4665,0.4806,0.4841,0.4905,0.4749,0.4744,0.459,0.4532,0.4398,0.4303,0.414,0.4007,0.3801,0.3681,0.3355,0.3141,0.2855,0.2605,0.2329,0.2041,0.1735,0.1551,0.1393,0.1173,0.1049,0.0948,0.0884,0.083,0.079,0.075,0.07,0.0666,0.062,0.0594,0.0582,0.0557,0.0556,0.0507,0.0496,0.0487,0.0454,0.045,0.0436,0.0419,0.041,0.0394,0.0403,0.0387,0.0378,0.0373,0.0352,0.0342,0.0323,0.0302,0.0285,0.0271,0.0256,0.0232,0.0214,0.0205,0.018,0.0169,0.0152,0.0139,0.0123,0.0112,0.0098,0.0093,0.0082,0.0073,0.0069,0.0064,0.0058,0.0054,0.0049,0.0045,0.0044,0.0042,0.0043,0.0042,0.0044,0.0042,0.0042,0.0048,0.005,0.0057,0.0061,0.0066,0.0072
0.4683,0.4639,0.4758,0.4818,0.4893,0.4732,0.4729,0.4629,0.4562,0.4482,0.4371,0.4214,0.405,0.3825,0.3702,0.3374,0.3191,0.2896,0.2634,0.233,0.2038,0.1723,0.1515,0.1367,0.1216,0.1135,0.107,0.1,0.0942,0.0894,0.0848,0.0809,0.077,0.0725,0.0697,0.0686,0.0655,0.0648,0.0605,0.0595,0.058,0.0555,0.0547,0.054,0.0518,0.0509,0.0491,0.0502,0.0477,0.0467,0.0461,0.0443,0.0426,0.0412,0.0392,0.0375,0.0362,0.0352,0.0332,0.0317,0.0304,0.0288,0.0278,0.0262,0.0247,0.0234,0.0221,0.0206,0.02,0.0188,0.0179,0.017,0.0162,0.0157,0.0148,0.0135,0.0132,0.0126,0.012,0.012,0.0118,0.0116,0.0111,0.011,0.0113,0.0113,0.0116,0.0119,0.0119,0.0124
0.3866,0.38,0.3836,0.3845,0.3846,0.3704,0.3667,0.3543,0.3448,0.3398,0.3297,0.3198,0.309,0.2988,0.291,0.2756,0.2633,0.2473,0.2319,0.2102,0.1933,0.1732,0.1612,0.146,0.1342,0.1239,0.116,0.1083,0.1015,0.0963,0.0925,0.0881,0.0842,0.0798,0.0777,0.0759,0.0735,0.0729,0.0693,0.0678,0.0664,0.0641,0.0628,0.0619,0.06,0.0589,0.0572,0.0576,0.0555,0.0552,0.0543,0.0529,0.051,0.0502,0.0481,0.0471,0.046,0.0452,0.0436,0.0427,0.0418,0.0401,0.0394,0.0382,0.0371,0.0358,0.0343,0.0328,0.0325,0.0312,0.0302,0.0291,0.0285,0.0276,0.0264,0.0253,0.0243,0.0233,0.0223,0.0217,0.0211,0.0202,0.0191,0.0187,0.0187,0.0179,0.0178,0.0179,0.0169,0.0169
0.3136,0.3049,0.3061,0.3026,0.2998,0.2874,0.282,0.2703,0.2677,0.2629,0.2574,0.2479,0.2384,0.2262,0.2161,0.2022,0.1913,0.1759,0.1637,0.1456,0.1317,0.1183,0.1117,0.1066,0.1032,0.0975,0.0949,0.092,0.0891,0.0866,0.0848,0.0823,0.081,0.0782,0.0761,0.075,0.0732,0.0721,0.0693,0.0679,0.0667,0.065,0.0643,0.0642,0.0629,0.0625,0.0614,0.0615,0.061,0.0608,0.0601,0.0596,0.0587,0.0586,0.0573,0.0568,0.0566,0.0559,0.055,0.0541,0.0535,0.0524,0.0517,0.0509,0.0493,0.0478,0.0469,0.045,0.0444,0.0431,0.042,0.0408,0.0399,0.0392,0.0379,0.0369,0.0363,0.0356,0.0348,0.0343,0.0339,0.0336,0.0327,0.0322,0.032,0.0314,0.0312,0.031,0.0306,0.0312
0.1789,0.1683,0.165,0.1583,0.1551,0.1446,0.1403,0.1361,0.1344,0.1312,0.128,0.1226,0.1185,0.1125,0.1069,0.1009,0.0952,0.089,0.084,0.0794,0.0755,0.0723,0.0701,0.0684,0.0672,0.0651,0.0643,0.0636,0.0626,0.0615,0.0608,0.0606,0.0602,0.0594,0.0591,0.059,0.0577,0.0577,0.0559,0.0558,0.0557,0.0539,0.0538,0.0531,0.0522,0.0519,0.0506,0.0504,0.0498,0.0494,0.0483,0.0476,0.0467,0.0458,0.0442,0.043,0.0425,0.0415,0.0401,0.0391,0.0385,0.0372,0.036,0.0356,0.0339,0.033,0.0322,0.0305,0.0301,0.0293,0.0281,0.028,0.0271,0.0261,0.0252,0.0244,0.0235,0.023,0.0224,0.022,0.0212,0.021,0.0205,0.0197,0.0193,0.0189,0.0186,0.0183,0.0179,0.018
0.1156,0.1098,0.1077,0.1052,0.103,0.0969,0.0929,0.0884,0.0855,0.0827,0.0804,0.0768,0.0734,0.0696,0.0663,0.0632,0.061,0.0572,0.0541,0.0506,0.0479,0.0449,0.0425,0.0412,0.0394,0.0376,0.0352,0.0347,0.0328,0.031,0.0287,0.0272,0.0258,0.0237,0.0217,0.0206,0.0197,0.019,0.018,0.0178,0.0178,0.017,0.0166,0.0166,0.0165,0.0162,0.016,0.0158,0.0156,0.0154,0.0153,0.0151,0.0148,0.0145,0.0144,0.014,0.0138,0.0137,0.013,0.013,0.0128,0.0121,0.0118,0.0116,0.0114,0.0112,0.0108,0.0106,0.0106,0.0105,0.0103,0.0102,0.0099,0.0097,0.0094,0.0093,0.0089,0.0088,0.0085,0.0081,0.0078,0.0076,0.0072,0.0067,0.0065,0.006,0.0058,0.0056,0.0052,0.0053
0.108,0.1065,0.1088,0.1095,0.1114,0.1094,0.1108,0.11,0.1116,0.1112,0.1114,0.1078,0.1057,0.1032,0.1017,0.097,0.0964,0.0923,0.089,0.0841,0.0795,0.0733,0.0707,0.0673,0.0623,0.0586,0.0543,0.0504,0.0458,0.0424,0.0388,0.0361,0.0344,0.0321,0.0296,0.029,0.0275,0.0267,0.0238,0.0234,0.0226,0.0196,0.0185,0.0181,0.0168,0.0158,0.015,0.0153,0.0145,0.014,0.0134,0.0122,0.012,0.0111,0.0099,0.0093,0.009,0.0083,0.0079,0.0074,0.0066,0.0062,0.0056,0.0053,0.0047,0.0044,0.0039,0.0037,0.0035,0.0033,0.0029,0.0028,0.0025,0.002,0.0019,0.0015,0.0013,0.0012,0.0009,0.0006,0.0005,0.0003,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0004,0.0005
0.0873,0.0863,0.0885,0.09,0.0925,0.092,0.095,0.0958,0.0998,0.1015,0.1032,0.0999,0.0978,0.0951,0.0936,0.0896,0.0903,0.0871,0.084,0.0819,0.0783,0.0725,0.071,0.0703,0.0658,0.0633,0.0603,0.0582,0.0558,0.0538,0.0516,0.0498,0.048,0.0457,0.0415,0.0392,0.0377,0.0363,0.0313,0.0296,0.0277,0.0251,0.0233,0.0219,0.0209,0.0186,0.0172,0.0166,0.0155,0.0144,0.0135,0.0126,0.0116,0.0108,0.01,0.0094,0.0084,0.0077,0.0071,0.0067,0.0062,0.006,0.0056,0.0051,0.0043,0.0037,0.0031,0.0026,0.0026,0.0022,0.002,0.002,0.0019,0.0017,0.0016,0.0012,0.001,0.001,0.0009,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0006,0.0007,0.0009,0.001,0.0011
0.0765,0.0754,0.0743,0.0736,0.0729,0.0711,0.0703,0.0707,0.0714,0.0728,0.0733,0.0722,0.071,0.0693,0.0671,0.0647,0.0631,0.0604,0.0583,0.0567,0.0545,0.0523,0.0511,0.0503,0.0488,0.0474,0.0464,0.0462,0.0445,0.0436,0.0428,0.0427,0.0423,0.0411,0.04,0.0396,0.0385,0.0384,0.0362,0.0358,0.035,0.033,0.0319,0.0314,0.0307,0.0297,0.0284,0.028,0.0274,0.0269,0.0264,0.0258,0.0243,0.0235,0.0226,0.0216,0.0206,0.02,0.0191,0.0178,0.0173,0.0161,0.0152,0.0145,0.0131,0.0124,0.0113,0.0101,0.0097,0.0086,0.0079,0.0073,0.0065,0.0061,0.0051,0.0047,0.0042,0.0041,0.0035,0.0033,0.0033,0.003,0.0029,0.0029,0.0026,0.0026,0.0029,0.0031,0.0033,0.0037
0.101,0.1013,0.1009,0.101,0.1016,0.1001,0.1,0.0992,0.1,0.1002,0.1005,0.1009,0.1013,0.1013,0.0999,0.0986,0.0977,0.0961,0.0948,0.0944,0.0929,0.0917,0.0906,0.0903,0.0899,0.088,0.088,0.0876,0.0862,0.0858,0.0847,0.0845,0.0844,0.0829,0.0823,0.0818,0.0812,0.0807,0.0783,0.078,0.0768,0.0743,0.0738,0.0729,0.0718,0.0698,0.069,0.0686,0.0678,0.067,0.0664,0.0656,0.0645,0.0633,0.0631,0.0614,0.0605,0.06,0.0594,0.0587,0.0587,0.0576,0.0574,0.0572,0.056,0.0557,0.0543,0.0534,0.053,0.0524,0.0518,0.0512,0.0502,0.0494,0.0482,0.0475,0.0464,0.0459,0.0446,0.0444,0.0438,0.0428,0.0412,0.0408,0.0405,0.0398,0.0405,0.0402,0.04,0.0403
